Establecimiento,Lat,Lon
ESCUELA PRIMARIA MAESTRO FEDERICO ALVAREZ,19.3902067,-99.14655347
ESCUELA SECUNDARIA MARIA ENRIQUETA CAMARILLO,19.40003535,-99.15615034
ESCUELA PRIMARIA FRANCISCO SOSA TURNO MATUTINO,19.31649891,-99.07216613
ESCUELA SECUNDARIA NARCISO BASSOLS,19.38012865,-99.13096652
ESCUELA SECUNDARIA DIURNA NO. 260 TURNO VESPERTINO 09DES4260V,19.44491343,-99.19269306
CENTRO ESCOLAR MÉXICO CLAVE 11-0479-129-00-X-027,19.44807838,-99.19380365
ESCUELA PRIMARIA OMETECUHTLI TURNO MATUTINO,19.35418682,-99.09548954
ESCUELA PRIMARIA ANDRES FIGUEROA TURNO MATUTINO,19.4538426,-99.19249871
ESCUELA SECUNDARIA DIURNA NÚMERO 18 SOLEDAD ANAYA SOLORZANO,19.42051801,-99.15897248
ESCUELA PRIMARIA 18 DE MARZO TM,19.40420245,-99.14164275
ESCUELA SECUNDARIA PARA TRABAJADORES JUAN RULFO NUMERO 60 TURNO NOCTURNO,19.48196443,-99.21451377
ESCUELA PRIMARIA REPUBLICA DE GUINEA,19.34179495,-99.07182777
ESCUELA PRIMARIA DOMINGO TIRADO BENETI,19.34078591,-99.06812156
ESCUELA PRIMARIA PROFR GERARDO BRUNO SEVILLA HERNANDEZ,19.33551228,-99.06235531
ESCUELA SECUNDARIA NAGOYA,19.45292559,-99.17853788
ESCUELA PRIMARIA PETROLEOS MEXICANOS,19.48074501,-99.20401558
ESCUELA SECUNDARIA GENERAL FRANCISCO I. MADERO,19.43848572,-99.1613426
ESCUELA PRIMARIA DAVID ALFARO SIQUEIROS,19.38295011,-99.10486283
ESCUELA PRIMARIA MARGARITA MAZA DE JUAREZ,19.43919421,-99.15955349
ESCUELA PRIMARIA LAZARO CARDENAS 09DPR126E,19.35405874,-99.07377925
ESCUELA SECUNDARIA DIURNA 120 ROSARIO CASTELLANOS,19.44973894,-99.16820712
SECUNDARIA  NUMERO 4 MOISES SAENZ,19.44160917,-99.15968548
ESCUELA PRIMARIA POLONIA TURNO MATUTINO,19.46910678,-99.18631471
ESCUELA SEC JONN F KENEDY,19.48381848,-99.20048027
ESCUELA PROFESORA GUADALUPE CENICEROS DE PEREZ ZAVALETA,19.35063585,-99.05867798
ESCUELA PRIMARIA PROFESOR ANGEL SALAS BONILLA,19.34101163,-99.04878505
ESCUELA PRIMARIA,19.47939603,-99.18682918
ESCUELA PRIMARIA PROFESOR JOSE GANZALEZ VILLASEÑOR,19.33180768,-99.03812832
ESCUELA PRIMARIA REPUBLICA DE RUANDA TM,19.39039772,-99.09539566
ESCUELA SECUNDARIA DIURNA 182 ALEXIS CARRELL TURNO MATUTINO 09DES0782G,19.34649498,-99.05135798
ESCUELA SEC DIURNA NUM 140 NETZAHUALCOYOTL,19.48730877,-99.19133196
ESCUELA PRIMARIA VICENTE ALCARAZ TURNO MATUTINO,19.48112789,-99.18437899
ESCUELA PRIMARIA FRANCISCO GONZALEZ BOCANEGRA,19.43923123,-99.14023354
ESCUELA PRIMARIA EL AMO TORRES 09DPR1321E,19.34208837,-99.04140958
ESCUELA PRIMARIA LICENCIADO MIGUEL SERRANO,19.4368888,-99.13439418
ESCUELA PRIMARIA MANUEL BELGRANO TURNO MATUTINO,19.4979725,-99.19347764
ESCUELA PRIMARIA ING. GONZALEZ CAMARENA TURNO MATUTINO,19.48525049,-99.18051712
ESCUELA PRIMARIA REPUBLICA POPULAR DE POLONIA TURNO MATUTINO,19.34542147,-99.03906903
SECUNDARIA DIURNA NO 6 CARLOTA JASO MATUTINO CLAVE 09DES0 006B,19.43638122,-99.12997355
ESCUELA PRIMARIA LOS DERECHOS DEL NIÑO TURNO MATUTINO,19.34555076,-99.0360218
ESCUELA PRIMARIA PROFESORA VICENTA TRUJILLO,19.45163997,-99.14157147
ESCUELA SECUNDARIA PRESIDENTE VALENTIN GOMEZ FARIAS MATUTINO 83,19.45163841,-99.14156486
ESCUELA SECECUNDARIA 16 PEDRO DIAZ,19.45217439,-99.13940498
ESCUELA PRIMARIA SOTERO PRIETO TURNO MATUTINO,19.49116709,-99.17728089
ESCUELA NOCTURNA DR. HECTOR PEREZ MARTINEZ,19.46434224,-99.14828853
ESCUELA PRIMARIA NORUEGA 09DPR1054Z,19.42389856,-99.10749666
