Establecimiento,Lat,Lon
FACULTAD DE ARTES VISUALES,25.6142,-100.2777341
FACULTAD DE CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA,25.6142,-100.2776137
FACULTAD DE CIENCIAS QUIMICAS DIVISION POSGRADO,25.6942,-100.3108845
FACULTAD DE ECONOMIA,25.6142,-100.2771045
FACULTAD DE INGENIERÍA,25.6725,-100.3220954
FACULTAD DE MUSICA,25.6142,-100.277402
FACULTAD DE MUSICA,25.6644,-100.2212182
FACULTAD DEPSICOLOGIA,25.6941,-100.3482669
FACULTAD LIBRE DE DERECHO DE MONTERREY,25.6629,-100.4415679
I.T.E.S.M. ESCUELA DE GRADUADOS EN ADMINISTRACION Y DIRECCION DE EMPRESAS EBS MTY.,25.6432,-100.3264044
ICONO,25.669,-100.3233647
IDAP MONTERREY,25.6402,-100.2828159
IDESAA,25.6821,-100.3311128
IESALUD,25.6752,-100.3216846
INSTITUTO CENCALI,25.672,-100.3365235
INSTITUTO CENCALLI,25.672,-100.336398
INSTITUTO CULINARIO DE MEXICO,25.6655,-100.3420969
INSTITUTO CULINARIO MONTERREY,25.6695,-100.3362344
INSTITUTO DE CAPACITACION Y ENSEÑANZA PROFESIONAL,25.6775,-100.3208924
INSTITUTO DE CIENCIAS PEDAGOGICAS SC,25.6283,-100.2728093
INSTITUTO DE CIENCIAS Y ESTUDIOS SUPERIORES DE NUEVO LEON,25.6682,-100.3193328
INSTITUTO DE EDUCACION SUPERIOR EN ESTUDIOS DE LA SALUD,25.6752,-100.3218812
INSTITUTO DE ESPECIALIDADES DENTALES,25.7394,-100.2063847
INSTITUTO DE ESTUDIOS SUPERIORES,25.6798,-100.3011919
INSTITUTO DE ESTUDIOS SUPERIORES AME,25.6734,-100.3370895
INSTITUTO DE INVESTIGACION INNOVACIÓN Y ESTUDIOS DE POSGRADO PARA LA EDUCACION,25.6815,-100.333094
INSTITUTO DE PROYECTOS EDUCATIVOS DE MONTERREY,25.6825,-100.2940535
INSTITUTO DE TECNOLOGIA AVANZADA,25.6774,-100.3247104
INSTITUTO DENEGOCIOS DE JUAREZ,25.6468,-100.1176838
INSTITUTO FOCIM,25.6851,-100.3312776
INSTITUTO GUADALUPE DE ESTUDIOS SUPERIORES,25.6723,-100.2631249
INSTITUTO INTEGRAL DE TANATOLOGIA,25.6796,-100.3424478
INSTITUTO MEXICANO DE GASTRONOMIA SAN NICOLAS,25.7553,-100.2958381
INSTITUTO MEXICO CUBANO DEL MILENIO,25.6702,-100.3352102
INSTITUTO ORTODOXO DE CIENCIAS,25.7546,-100.3951119
INSTITUTO PROFESIONAL DE ARTE Y DISEÑO,25.6763,-100.3232064
INSTITUTO SUPERIOR DE SEGURIDAD PRIVADA,25.6715,-100.3482973
INSTITUTO TECNOLOGICO DE NUEVO LEON,25.6639,-100.2455417
INSTITUTO TECNOLÓGICO DE NUEVO LEÓN,25.6637,-100.2448226
INSTITUTO TECNOLÓGICO DE TELÉFONOS DE MÉXICO SC,25.6603,-100.2804077
INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY CAMPUS MONTERREY,25.651,-100.2919108
INSTITUTO UNIVERSITARIO EN SISTEMAS ADMINISTRATIVOS DE MONTERREY,25.6788,-100.3136542
INSTITUTO UNIVERSITARIO METROPOLITANO,25.675,-100.3197995
INSTITUTO UNIVERSITARIO MEXICO AMERICANO,25.6645,-100.2216565
INSUCO,25.6738,-100.3168378
INTERLINE,25.5885,-100.0018603
INTITUTO UNIVERSITARIO OXFORD,25.6707,-100.3134157
ITESM,25.6752,-100.2872919
IUTT DE LA CROC,25.6758,-100.2978031
JOSE VASCONCELOS CALDERON,25.6509,-100.1960528
JOSE VASCONCELOS CALDERON,25.668,-100.2289405
JOSE VASCONSELOS,25.7228,-100.2066342
MIGUEL F MARTINEZ,25.6709,-100.2935608
MONTEREAL CENTRO UNIVERSITARIO,25.6525,-100.3530297
PITT,25.7502,-100.1284195
POSTGRADO POLITICA,25.6144,-100.2824246
PREPARATORIA UNIDAD GUADALUPE UNIVERSIDAD REGIOMONTANA AC,25.7093,-100.2225078
PREPARATORIA Y UNIVERSIDAD CNCI,25.5936,-99.99782597
SERVICIOS EDUCATIVOS,25.6311,-100.2689466
SERVICIOS JURIDICOS GRATUITOS,25.6615,-100.4003486
SOCIEDAD ANALÍTICA DE GRUPO DE MONTERREY AC,25.6963,-100.3555102
UAP,25.6921,-100.3388286
UCLAM,25.6771,-100.3305001
UNESI UNIVERSIDAD ESPECIALIZADA EN SOLUCIONES INTEGRALES,25.6716,-100.3485695
UNIDAD CULTURAL ARQUITECTURA,25.6658,-100.3076093
UNIDAD DE ESTUDIOS SUPERIORES CUMBRES MONTERREY,25.6894,-100.344577
UNIDAD SAN PEDRO,25.6645,-100.4203319
UNIVERCIDAD DE NUEVA EXTREMADURA,25.8116,-100.5932295
UNIVERDAD INTERNACIONAL DEL LIDERAZGO Y DESARROLLO,25.7809,-100.1909942
UNIVERSIDAD ALFONSO REYES,25.7523,-100.2632524
UNIVERSIDAD ALFONSO REYES,25.7842,-100.2386201
UNIVERSIDAD ALFONSO REYES,25.7287,-100.1794643
UNIVERSIDAD ALFONSO REYES,25.7519,-100.2588509
UNIVERSIDAD ALFONSO REYES,25.6795,-100.26641
UNIVERSIDAD ALFONSO REYES,25.6795,-100.2664786
UNIVERSIDAD ATENEO DE MONTERREY,25.7483,-100.2939956
UNIVERSIDAD AUTONOMA DE DURANGO CAMPUS MONTERREY,25.6709,-100.3443299
UNIVERSIDAD AUTONOMA DE NUEVO LEON,25.677,-100.2898883
UNIVERSIDAD AUTONOMA DE NUEVO LEON,25.6825,-100.2950869
UNIVERSIDAD AUTÓNOMA DEL NORESTE,25.6802,-100.318715
UNIVERSIDAD CIUDADANA,25.68,-100.3314472
UNIVERSIDAD CIUDADANA DE NUEVO LEON,25.6654,-100.213763
UNIVERSIDAD CIUDADANA DE NUEVO LEON,25.799,-100.6045274
UNIVERSIDAD DE CHIHUAHUA CAMPUS MONTERREY,25.6634,-100.1974618
UNIVERSIDAD DE CIENCIAS DE LA SEGURIDAD DEL ESTADO DE NUEVO LEON,25.7077,-100.5412621
UNIVERSIDAD DE COMUNICACION AVANZADA,25.6714,-100.3247554
UNIVERSIDAD DE MONTERREY,25.6657,-100.4193745
UNIVERSIDAD DE NUEVA EXTREMADURA,25.674,-100.4623981
UNIVERSIDAD DE NUEVA EXTREMADURA PLANTEL APODACA,25.78,-100.1882931
UNIVERSIDAD DEL NORTE AC,25.6886,-100.3303176
UNIVERSIDAD DEL VALLE DE MEXICO,25.7177,-100.2506403
UNIVERSIDAD GRAL EMILIANO ZAPATA,25.7429,-100.3426025
UNIVERSIDAD HUMANISTA DE LAS AMERICAS,25.6732,-100.3315383
UNIVERSIDAD IBEROAMERICANA CENTRO DE EXTENSION MONTERREY,25.6785,-100.3418398
UNIVERSIDAD INSUCO CONCORDIA,25.7848,-100.2340083
UNIVERSIDAD INSUCO UNIDAD GUADALUPE,25.6625,-100.2506922
UNIVERSIDAD INTERAMERICANA DEL NORTE,25.4328,-100.1522191
UNIVERSIDAD INTERAMERICANA DEL NORTE,25.6811,-100.4837338
UNIVERSIDAD INTERAMERICANA DEL NORTE,25.662,-100.2377005
UNIVERSIDAD INTERAMERICANA DEL NORTE,25.667,-100.306941
UNIVERSIDAD INTERAMERICANA DEL NORTE,25.5759,-100.2463553
UNIVERSIDAD INTERAMERICANA DEL NORTE,25.576,-100.2461849
UNIVERSIDAD INTERAMERICANA DEL NORTE,25.759,-100.2955836
UNIVERSIDAD INTERAMERICANA DEL NORTE,25.7228,-100.2001982
UNIVERSIDAD INTERAMERICANA DEL NORTE,25.662,-100.2376985
UNIVERSIDAD INTERAMERICANA DEL NORTE CAMPUS SAN NICOLAS,25.759,-100.2955847
UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO,25.6724,-100.3379961
UNIVERSIDAD JOSE MARTI DE LATINOAMERICA,25.671,-100.3223406
UNIVERSIDAD JOSE VAONCELOS CALDERON,25.6744,-100.4556571
UNIVERSIDAD JOSE VASCONCELOS,25.6893,-100.2529024
UNIVERSIDAD JOSE VASCONCELOS CALDERON,25.7337,-100.3762376
