Punto,Lat,Lon,
ESCUELA PRIMARIA AGUSTIN LEGORRETA,19.2187797,-98.9956884,
ESCUELA PRIMARIA ALBERTO CORREA,19.4187290,-99.1653348,
ESCUELA PRIMARIA ALBERTO EINSTEIN,19.3422694,-98.9994809,
ESCUELA PRIMARIA ALBERTO MASFERRER,19.3660043,-99.1185545,
ESCUELA PRIMARIA ALBINO GARCÍA 09DPR1146P,19.3455535,-99.0378061,
ESCUELA PRIMARIA ALEJANDRO DE HUMBOLDT,19.5040397,-99.1264251,
ESCUELA PRIMARIA ALEJANDRO HUMBOLT,19.5039454,-99.1264475,
ESCUELA PRIMARIA ALEJANDRO VOLTA,19.3375049,-98.9884662,
ESCUELA PRIMARIA ALFONSA SIERRA PARTIDA,19.3317567,-99.1726153,
ESCUELA PRIMARIA ALFONSO ANZORENA GONZÁLEZ,19.5077057,-99.0993929,
ESCUELA PRIMARIA ALFONSO CASO ANDRADE,19.4037817,-99.1677977,
ESCUELA PRIMARIA ALFONSO HERRERA,19.4151508,-99.1724868,
ESCUELA PRIMARIA ALFONSO PRUNEDA,19.5260073,-99.1725421,
ESCUELA PRIMARIA ALFONSO SIERRA PARTIDA,19.3321730,-99.1726700,
ESCUELA PRIMARIA ALFONSO TEJA ZABRE,19.3097905,-99.2287327,
ESCUELA PRIMARIA ALFREDO BERNARDO NOBELESESCUELA PRIMARIA ALFREDO BERNARDO NOBEL,19.4511462,-99.2151372,
ESCUELA PRIMARIA ALFREDO E URUCHURTU,19.3048742,-99.2464165,
ESCUELA PRIMARIA ALFREDO V BONFIL,19.2820025,-99.2031263,
ESCUELA PRIMARIA ALVARO OBREGON,19.3021738,-99.2457496,
ESCUELA PRIMARIA AMADO NERVO,19.3763448,-99.1914175,
ESCUELA PRIMARIA AMANDA PALAFOX Y BAZ,19.2695299,-99.1767844,
ESCUELA PRIMARIA AMERICA LATINA CCT 09DPR1617R,19.4609122,-99.1717724,
ESCUELA PRIMARIA ANA MARIA BERLANGA,19.4603901,-99.0945146,
ESCUELA PRIMARIA ANACLETO BARCENAS ROJAS,19.2666210,-99.1015125,
ESCUELA PRIMARÍA ANASTASIO GAONA DURÁN JORNADA AMPLIADA,19.4847245,-99.0910436,
ESCUELA PRIMARIA ANDRÉS BELLO,19.4467197,-99.1544866,
ESCUELA PRIMARIA ANDRES DELGADO EL GIRO,19.2633015,-99.1196254,
ESCUELA PRIMARIA ANDRES FIGUEROA,19.4538426,-99.1924987,
ESCUELA PRIMARIA ANDRES MOLINA ENRIQUES,19.3424656,-99.0228587,
ESCUELA PRIMARIA ANDRES OSUNA,19.4805743,-99.1025151,
ESCUELA PRIMARIA ANDRÉS QUINTANA ROO,19.3408293,-99.1470193,
ESCUELA PRIMARIA ANGEL ALBINO CORZO,19.3988507,-99.1433672,
ESCUELA PRIMARIA ANGEL ALBINO CORZO JORNADA AMPLIADA,19.3983881,-99.1434402,
ESCUELA PRIMARIA ANGEL DE CAMPO,19.4272830,-99.0955121,
ESCUELA PRIMARIA ANGELA PERALTA,19.4788230,-99.1488454,
ESCUELA PRIMARIA ANIBAL PONCE,19.3363837,-99.0187902,
ESCUELA PRIMARIA ANICETO CASTELLANOS URRUTIA,19.2870676,-99.0406276,
ESCUELA PRIMARIA ANTONIA ARELLANO LUNA,19.4182285,-99.1276243,
ESCUELA PRIMARIA ANTONIO AUDIRAC Y ALFONSIN,19.3323284,-99.0601323,
ESCUELA PRIMARIA ANTONIO CASO,19.4425639,-99.1947972,
ESCUELA PRIMARIA ANTONIO CEDENO,19.3298550,-99.0510766,
ESCUELA PRIMARIA ANTONIO DE MENDOZA,19.3940998,-99.0733211,
ESCUELA PRIMARIA ANTONIO GARCIA,19.3900513,-99.1221660,
ESCUELA PRIMARIA ANTONIO MARTINREZ DE CASTRO,19.3128107,-99.1498749,
ESCUELA PRIMARIA ANTONIO SANCHEZ MOLINA CCT 09DPR5011B,19.2922346,-99.2302620,
ESCUELA PRIMARIA AÑO DE JUAREZ,19.3593902,-99.0969937,
ESCUELA PRIMARIA AÑO INTERNACIONAL DEL NIÑO,19.3670066,-98.9982892,
ESCUELA PRIMARIA AQUILES ELORDUY,19.4750609,-99.1851955,
ESCUELA PRIMARIA AQUILES SERDAN,19.4068484,-99.2028491,
ESCUELA PRIMARIA ARABIA SAUDITA,19.2916847,-99.1292293,
ESCUELA PRIMARIA ARQUELES VELA SALVATIERRA 32-1996-356-28-X-017,19.3941325,-99.0700003,
ESCUELA PRIMARIA ARTEMIO DE VALLE ARIZPE 41-1243-412-00-X-028,19.4148119,-99.1187384,
ESCUELA PRIMARIA ARTICULO 27 25-0724-218-00-X-016,19.4924165,-99.1426859,
ESCUELA PRIMARIA ARTURO ROSENBLUETH T V,19.3526104,-98.9963151,
ESCUELA PRIMARIA ASOCIACION DE FERRETEROS DE MEXICO TIEMPO COMPLETO,19.3937778,-99.2002493,
ESCUELA PRIMARIA ATENEO DE LA JUVENTUD,19.1966928,-99.1457301,
ESCUELA PRIMARIA AUGUSTO CESAR SANDIÑO,19.4561225,-99.1609995,
ESCUELA PRIMARIA AUGUSTO COMTE 45-1988-425-00-X-017,19.3913575,-99.0694412,
ESCUELA PRIMARIA AURELIANO CASTILLO,19.2574007,-99.0372149,
ESCUELA PRIMARIA AURELIO HIDALGO,19.3316351,-99.2487180,
ESCUELA PRIMARIA AURELIO MALDONADO CEDILLO,19.5492160,-99.1523667,
ESCUELA PRIMARIA AUSTRIA,19.4753170,-99.1621730,
ESCUELA PRIMARIA AXAYACALT,19.3378380,-98.9984779,
ESCUELA PRIMARIA AZTAHUACAN,19.3155365,-99.0879525,
ESCUELA PRIMARIA BANDERA DE MEXICO,19.3671209,-99.1118900,
ESCUELA PRIMARIA BANDERA NACIONAL,19.3592363,-99.1183571,
ESCUELA PRIMARIA BARTOLOME DE MEDINA,19.4012384,-99.1996536,
ESCUELA PRIMARIA BASILIO VADILLO C. C.P 0 9 D P R 1 1 8 5 R,19.4009861,-99.1308664,
ESCUELA PRIMARIA BATALLON DE SAN BLAS,19.4510929,-99.1135531,
ESCUELA PRIMARIA BATALLON DE SAN PATRICIO,19.3440853,-99.2131510,
ESCUELA PRIMARIA BEATIZ AVILA GARCIA,19.3612145,-99.2461997,
ESCUELA PRIMARIA BEATRIZ DE LA FUENTE,19.3279711,-99.0237761,
ESCUELA PRIMARIA BÉLGICA,19.4134368,-99.1021228,
ESCUELA PRIMARIA BELICE,19.5039098,-99.0876434,
ESCUELA PRIMARIA BENITO JUAREZ,19.2067178,-99.0711446,
ESCUELA PRIMARIA BENITO JUAREZ 09DPR2241Z,19.3313979,-99.3290198,
ESCUELA PRIMARIA BENITO JUAREZ 11 0362,19.4094184,-99.1598044,
ESCUELA PRIMARIA BENITO PEREZ GALDOS,19.3459070,-98.9890883,
ESCUELA PRIMARIA BRAULIO RODRIGUEZ,19.3836363,-99.0299089,
ESCUELA PRIMARIA CAJEME,19.2506992,-99.1715315,
ESCUELA PRIMARIA CALIXTO ANTONIO RODRIGUEZ FLORES,19.5266340,-99.1666514,
ESCUELA PRIMARIA CALMECAC,19.3999683,-99.0684370,
ESCUELA PRIMARIA CALMECAC SEP,19.4948433,-99.0699455,
ESCUELA PRIMARIA CALPULLI CALTONGO,19.2611986,-99.0795712,
ESCUELA PRIMARIA CANADA,19.4333513,-99.2221450,
ESCUELA PRIMARIA CANDIDO NAVARRO,19.4906247,-99.1771553,
ESCUELA PRIMARIA CANDOR GUAJARDO,19.3700237,-99.2235266,
ESCUELA PRIMARIA CAPITAN EMILIO CARRANZA,19.4195521,-99.1599774,
ESCUELA PRIMARIA CARLOS A PEREYRA,19.3788936,-99.2297159,
ESCUELA PRIMARIA CARLOS A. CARRILLO,19.3683887,-99.1435016,
ESCUELA PRIMARIA CARLOS ALVARADO LANG,19.3820948,-99.2086807,
ESCUELA PRIMARIA CARLOS CARRILLO,19.3682047,-99.1423738,
ESCUELA PRIMARIA CARLOS DARWIN,19.3385464,-99.0852904,
ESCUELA PRIMARIA CARLOS DE SIGUENZA Y GONGORA,19.3105229,-99.2453837,
ESCUELA PRIMARIA CARLOS ENRIQUE NERI GUZMAN,19.3795648,-99.0521352,
ESCUELA PRIMARIA CARLOS ESPINOZA ROMERO,19.3317278,-99.0595621,
ESCUELA PRIMARIA CARLOS FUENTES,19.2109252,-98.9746588,
ESCUELA PRIMARÍA CARLOS MARÍA BUSTAMANTE,19.3729984,-99.2881731,
ESCUELA PRIMARIA CARLOS PELLICER,19.3092236,-99.1106948,
ESCUELA PRIMARIA CARMEN ARROLLO DE LA PARRA 51-2311-551-40-X-022,19.2902684,-99.0532072,
ESCUELA PRIMARIA CARMEN COSGAYA RIVAS,19.5442210,-99.1378510,
ESCUELA PRIMARIA CARMEN SERDAN,19.3303554,-99.2761095,
ESCUELA PRIMARIA CARMEN SERDAN ALATRISTE,19.3538343,-99.1445599,
ESCUELA PRIMARIA CARTA DE LOS DERECHOS ECONOMICOS,19.3837114,-99.1086266,
ESCUELA PRIMARIA CATALINA CARDONA NAVA,19.2974693,-99.2445738,
ESCUELA PRIMARIA CAYETANO RODRIGUEZ BELTRAN,19.3885961,-99.2083781,
ESCUELA PRIMARIA CELERINO CANO PALACIO,19.4141620,-99.1056424,
ESCUELA PRIMARIA CENICEROS,19.3021418,-99.0731613,
ESCUELA PRIMARIA CENTAURO DEL NORTE C.C.T.09DPR5045S,19.2928518,-99.0720409,
ESCUELA PRIMARIA CENTENARIO DE JUAREZ,19.3250710,-99.1463665,
ESCUELA PRIMARIA CENTENARIO DE LA RESTAURACIÓN DE LA REPUBLICA,19.3574003,-99.0661390,
ESCUELA PRIMARIA CENTENARIO DEL 47,19.4630861,-99.1088582,
ESCUELA PRIMARIA CENTENARIO DEL HIMNO NACIONAL MEXICANO,19.3628745,-99.1262311,
ESCUELA PRIMARIA CERRO DE LA ESTRELLA,19.3453326,-99.1024215,
ESCUELA PRIMARIA CESAR VALLEJO,19.3525311,-99.0966613,
ESCUELA PRIMARIA CEYLAN 4,19.4225881,-99.1130823,
ESCUELA PRIMARIA CHICHENITZA,19.2479435,-99.1260258,
ESCUELA PRIMARIA CHICOMOSTOC,19.5042265,-99.0962070,
ESCUELA PRIMARIA CHIPRE,19.3765343,-99.1456370,
ESCUELA PRIMARIA CINCO DE MAYO,19.4318841,-99.1094698,
ESCUELA PRIMARIA CIRILO CELIS PASTRANA,19.3949962,-99.1929661,
ESCUELA PRIMARIA CIRILO LOPEZ PASTRANA,19.3950259,-99.1929591,
ESCUELA PRIMARIA CLUB 20 30,19.3948968,-99.0845454,
ESCUELA PRIMARIA CLUB DE LEONES 2,19.4474720,-99.0913808,
ESCUELA PRIMARIA CLUB DE LEONES DE LA VILLA 2,19.4718231,-99.1088751,
ESCUELA PRIMARIA CLUB DE LEONES NO 8 ESTADO DE OAXACA,19.4040323,-99.1892338,
ESCUELA PRIMARIA CLUB DE LEONES NO.4,19.3711218,-99.2018727,
ESCUELA PRIMARIA CLUB DE LEONES NUMERO 2 09DPR0990O,19.4475718,-99.0913424,
ESCUELA PRIMARIA CLUB DE LEONES NUMERO 3,19.3357764,-99.1478648,
"ESCUELA PRIMARIA CLUB DE LEONES,",19.4768000,-99.0878490,
ESCUELA PRIMARIA CONGRESO DE CHILPANCINGO,19.4266767,-99.0697803,
ESCUELA PRIMARIA CONSTITUCION DE 1957,19.4095332,-99.1575032,
ESCUELA PRIMARIA CONSTITUCION DE APATZINGAN TIEMPO COMPLETO,19.4809202,-99.0854655,
ESCUELA PRIMARIA COPIAPO,19.3605152,-99.0554554,
ESCUELA PRIMARIA CORONEL ADALBERTO TEJEDA,19.5283415,-99.1656052,
ESCUELA PRIMARIA CORONEL NICOLAS ROMERO,19.3069572,-99.2531120,
ESCUELA PRIMARIA CORONEL SILVESTRE LOPEZ,19.4511013,-99.0629254,
ESCUELA PRIMARIA COYOLXAUHQUI,19.3147428,-99.1193084,
ESCUELA PRIMARIA CRISTOBAL COLON,19.2247699,-98.9647883,
ESCUELA PRIMARIA CRISTOBAL COLÓN,19.2478125,-99.1236855,
ESCUELA PRIMARIA CRISTÓBAL COLÓN,19.4308049,-99.1258269,
ESCUELA PRIMARIA CUAHUTEPEC,19.5594177,-99.1310695,
ESCUELA PRIMARIA CUAUHILAMA,19.2467993,-99.0707899,
ESCUELA PRIMARIA CUAUHTEMOC,19.3198717,-99.2444068,
ESCUELA PRIMARIA CUICUILCO,19.3000271,-99.1790063,
ESCUELA PRIMARIA CULTURA AZTECA,19.1880038,-99.0216387,
ESCUELA PRIMARIA DANIEL COSIO VILLEGAS,19.3115456,-99.0370321,
ESCUELA PRIMARIA DANIEL RAMIREZ PEREZ,19.2191608,-99.1215592,
ESCUELA PRIMARIA DAVID ALFARO SIQUEIROS,19.3829501,-99.1048628,
ESCUELA PRIMARIA DAVID G BERLANGA,19.4385673,-99.1693322,
ESCUELA PRIMARIA DAVID VILCHIS,19.4622810,-99.1398338,
ESCUELA PRIMARIA DE ATENCION MULTIPLE CAM 51,19.3249197,-99.0503632,
ESCUELA PRIMARIA DE LA SEP,19.4443985,-99.1491928,
ESCUELA PRIMARIA DE PARTICIPACION SOCIAL 5,19.2921243,-99.1674120,
ESCUELA PRIMARIA DE PARTICIPACION SOCIAL NUMERO 2,19.4154775,-99.0868204,
ESCUELA PRIMARIA DE TIEMPO COMPLETO JUAN RUIZ DE ALARCON,19.4621781,-99.0883107,
ESCUELA PRIMARIA DEFENSOR DE ANAHUAC,19.4746424,-99.1426843,
ESCUELA PRIMARIA DEFENSORES DE LA REPUBLICA,19.4743801,-99.1427304,
ESCUELA PRIMARIA DEFENSORES DE VERACRUZ 1914,19.4324861,-99.1056347,
ESCUELA PRIMARIA DIEGO RIVERA,19.3415206,-99.1682854,
ESCUELA PRIMARIA DIEGO RIVERA CLAVE 24-1098-256-00-X-016,19.4542676,-99.0649522,
ESCUELA PRIMARIA DIF HORARIO ASISTENCIAL,19.3642990,-99.1590734,
ESCUELA PRIMARIA DINAMARCA,19.4899368,-99.0883948,
ESCUELA PRIMARIA DOCTOR ANGEL MARIA GARIBAY,19.3157875,-99.1688433,
ESCUELA PRIMARIA DOCTOR BELISARIO DOMINGUEZ,19.4390891,-99.1472092,
ESCUELA PRIMARIA DOCTOR CARLOS BAUER,19.4858564,-99.0983471,
ESCUELA PRIMARIA DOCTOR CAYETANO ANDRADE,19.4985157,-99.0930245,
ESCUELA PRIMARIA DOCTOR CONRADO MENDEZ MENA,19.3826887,-99.2552389,
ESCUELA PRIMARIA DOCTOR EDUARDO LICEAGA 32-3001-334-22-X-019,19.3030532,-99.2700608,
ESCUELA PRIMARIA DOCTOR JAIMES TORRES BODET,19.2959036,-99.0476609,
ESCUELA PRIMARIA DOCTOR JOSE MARIA LUIS MORA,19.5263713,-99.1387143,
ESCUELA PRIMARIA DOCTOR MIGUEL SILVA,19.4555310,-99.2067314,
ESCUELA PRIMARIA DOCTOR NABOR CARRILLO FLORES C.T.T. 09DPR2951Z,19.3162533,-99.2491291,
ESCUELA PRIMARIA DOCTOR OCTAVIO VEJAR,19.3906484,-99.0825802,
ESCUELA PRIMARIA DOCTOR PEDRO DE ALBA,19.3591401,-99.1045849,
ESCUELA PRIMARIA DOCTOR PORFIRIO PARRA,19.3449586,-99.1944954,
ESCUELA PRIMARIA DOCTOR SALVADOR ALLENDE.,19.5250009,-99.1486743,
ESCUELA PRIMARIA DOCTOR SAMUEL RAMOS,19.3745945,-99.1987024,
ESCUELA PRIMARIA DOCTORA MARGARITA CHORNE Y SALAZAR,19.4277104,-99.0952770,
ESCUELA PRIMARIA DOMINGO F. SARMIENTO,19.4223967,-99.1177808,
ESCUELA PRIMARIA DOMINGO MARTÍNEZ PARÉDES 09DPR4246I,19.2748425,-99.2223674,
ESCUELA PRIMARIA DR AGUSTÍN RIVERA,19.4271917,-99.1453153,
ESCUELA PRIMARIA DR ATL,19.4857486,-99.1451222,
ESCUELA PRIMARIA DR BELISARIO DOMINGUEZ,19.4391758,-99.1471894,
ESCUELA PRIMÁRIA DR FRANCISCO VÁZQUEZ GOMEZ CLAVE 52207850932X014,19.3398343,-99.1175189,
ESCUELA PRIMARIA DR HECTOR PEREZ MTZ,19.4593085,-99.1516189,
ESCUELA PRIMARIA DR MANUEL GAMIO,19.3616833,-99.0116175,
ESCUELA PRIMARIA DR. JESÚS DÍAZ DE LEÓN,19.3810103,-99.1903678,
ESCUELA PRIMARIA DR. MIGUEL SILVA,19.4491559,-99.1102448,
ESCUELA PRIMARIA DRA MARIA DEL CARMEN MILLAN,19.2979042,-99.1164503,
ESCUELA PRIMARIA EFRAIN HUERTA,19.3250532,-99.2591313,
