Punto,Lat,Lon
BODEGA DE MATERIALES SIN NOMBRE,20.56472033,-103.1831366
BODEGA DE MATERIALESCONSTRUCCION PARA MENDEZ,20.69435947,-103.2800626
BODEGA DE PLOMERIA METALFLU,20.64325823,-103.2852503
BODEGA DE TLAPALERIA KARMINA,20.66060106,-103.3084144
BODEGA DE TLAPALERIA PEGADURO,20.62298904,-103.4034225
BODEGA DE TODO PARA EL FONTANERO,20.63160223,-103.4038835
BODEGA DE TUBIN,20.73962562,-103.3982788
BODEGA DEL TALLER HIDRAULICO TODO PARA AIRE,20.63000624,-103.4063598
BODEGA EXHIBIDA DE TABLAROCA RAMÍREZ,20.67406666,-103.2785215
BODEGA FERREMATERIALES,20.62873354,-103.3877551
BODEGA FERREMATERIALES DUEÑAS,20.53408262,-103.470484
BODEGA FERRETERIA JESSE,20.66885233,-103.2886991
BODEGA FERRETERIA MACARA,20.64608159,-103.3804952
BODEGA FERRETERIA TOPETE,20.67119488,-103.3256253
BODEGA GRUPO PREMEX SA DE CV,20.63989644,-103.3932419
BODEGA MAGNETOS Y REFACCIONES,20.65236792,-103.3522017
BODEGA MATERIALES SAN SEBASTIANITO,20.59137139,-103.3874831
BODEGA MATERIALES VILLEGAS,20.63313245,-103.279036
BODEGA REFACCIONARIA EL PERIFERICO,20.55140913,-103.2655477
BODEGA SIN NOMBRE,20.56027115,-103.2965826
BODEGA SIN NOMBRE,20.62590987,-103.3659921
BODEGA SIN NOMBRE,20.65461157,-103.2825382
BODEGA SIN NOMBRE,20.6614365,-103.3342269
BODEGA SIN NOMBRE DE MATERIALES PARA LA CONSTRUCCION,20.6449492,-103.4717666
BODEGA SIN NOMBRE DE MATERIALES PARA LA CONSTRUCCION,20.64490472,-103.4717791
BODEGA TLAPALERIA,20.65350597,-103.2829671
BODEGA TLAPALERIA,20.65349364,-103.2828743
BOMBAS Y MOTORES PERISUR Y CALENTADORES HIDROSOLAR,20.61134708,-103.429343
BONAMPAK,20.68247162,-103.4524477
BUILDING COMPONETS,20.65139414,-103.3592238
CALENTADORES AQUASOLAR,20.66437233,-103.3225074
CALENTADORES HIDRONEUMATICOS,20.73085655,-103.4155757
CALENTADORES REPUBLICA,20.67465216,-103.3143186
CALENTADORES SOLARES,20.69468391,-103.3041503
CALENTADORES SOLARES,20.67010398,-103.3224099
