Establecimiento,latitud,longitud
ABASTECEDORA DE MATERIALES PARA LA CONSTRUCCION LAGUNA,19.5280847,-99.0519814
ACABADOS COLONIALES,19.67980143,-98.99615134
ACABADOS DE BARRO COLONIAL,19.61737379,-98.9834801
ACEROS Y CEMENTOS DE MEXICO,19.54330092,-99.07103594
ACEROS Y CEMENTOS GALPE,19.66664216,-99.00421708
APASCO MATERIALES RIVERA,19.61930974,-98.98988819
ARX BUY SELL,19.53725024,-99.0638259
BAÑOS Y COCINAS SAN AGUSTIN,19.52775454,-99.05036997
BODEGA DE  MATERIALES DE  CONSTRUCCION R1,19.54669692,-99.03469066
BODEGA DE LOS MATERIALES PARA CONSTRUCCION EL CALVARIO,19.60366648,-99.05631979
BODEGA DE MATERIAL PARA CONSTRUCCION SIN NOMBRE,19.51190926,-99.02125237
BODEGA DE MATERIALES LAS JOYAS,19.51858042,-99.07202709
BODEGA DE MATERIALES PARA LA CONSTRUCCION,19.52033099,-99.04201168
BODEGA DE TLAPALERIA MIKE,19.53546078,-99.02384193
BODEGA TLAPALERIA GONZALEZ,19.57450009,-99.07083664
CALENTADORES SOLARES,19.67432041,-99.00239781
CASA DE MATERIALES CASTOR EL CONSTRUCTOR,19.52656107,-99.02951109
CASA DE MATERIALES CEMENTO CRUZ AZUL,19.49688944,-99.05499025
CASA DE MATERIALES DE CONSTRUCCION URBI EXPRESS,19.65534544,-99.01949524
CASA DE MATERIALES DUARTE,19.49456306,-99.02378522
CASA DE MATERIALES GUTIERREZ HERMANOS,19.67887865,-98.99031602
CASA DE MATERIALES MADI,19.66319129,-99.01055023
CASA DE MATERIALES SIN NOMBRE,19.60189447,-99.01326055
CASA GAM ACABADOS CONSTRUTIVOS,19.49913575,-99.05151309
CASA MARTINEZ,19.64625118,-98.99975989
CELOSIAS Y ACABADOS SAGITARIO,19.49464949,-99.04459931
CEMENTO,19.65187435,-99.06494625
CEMENTO SAN MARTIN,19.53461659,-99.05293036
CEMENTOS Y FIERROS MEXEDO SA DE CV,19.67939352,-99.03670694
CONSTRU PLAZA,19.56572267,-99.02633244
CONSTRUCCIONES Y REMODELACIONES JARDINES,19.59678767,-99.01694146
CONSTRUCTORA 28 SA DE CV,19.70913726,-98.97845044
CONSTRURAMA,19.52638656,-99.03162351
DEPOSITO DE ARENA GRAVA,19.55550764,-99.07959308
DISTRIBUIDOR R1,19.52169689,-99.05835488
DISTRIBUIDORA DE MATERIALES PARA CONSTRUCCIÓNMORELOS,19.53269587,-99.04856223
DISTRIBUIDORA DE MATERIALES TERRANOVA,19.61481673,-99.0620218
DISTRIBUIDORA GALES,19.72112283,-98.97111172
DISTRIBUIDORA GALES,19.72063267,-98.97000092
DISTRIBUIDORA IMPULSA,19.60027056,-99.0526094
EL CONSTRUCTOR MATERIALES PARA CONSTRUCCION,19.53406794,-99.019179
ESTIBOS VILLA SEÑOR VENTA DE VARILLA Y ALAMBRADO.,19.60830824,-99.06653498
EXPENDIO DE MATERIALES PARA LACONSTRUCCION,19.49803506,-99.03044838
FAMA MATERIALES Y ACABADOS,19.63045584,-99.06028561
FERRE MATERIALES LAS AMERICAS,19.58627593,-99.00965501
FERRETERIA ALVIR,19.63679191,-99.00227403
FERRETERIA TORNILLOS Y RESORTES,19.60294197,-99.05154772
FERRETERIA Y TLAPALERIA COMERCIAL GALINDO,19.77271558,-98.98128606
GRUPO COMERCIAL AMORI,19.55084932,-99.04722888
HETERO CICLICO,19.62615976,-99.07776099
HOLDING PARA VENTAS A GOBIERNO S A DE C V,19.5637047,-99.04588
JARDINES DE MORELOS,19.59684729,-99.00668351
LAVADEROO,19.527889,-99.05049474
MAGA,19.5379109,-99.0425617
MAGNEMEX,19.53156827,-99.07437426
MARMOL EL GRANITO FENIX,19.59347044,-99.04398474
MATERIAL DE CONSTRUCCION LA PIE,19.6617035,-98.99392998
MATERIAL PARA CONSTRUCCION,19.68288104,-99.01534496
MATERIAL PARA CONSTRUCCION,19.49775204,-99.04603181
MATERIAL PARA CONSTRUCCION,19.558532,-99.0822398
MATERIAL PARA CONSTRUCCION SIN NOMBRE,19.58430104,-99.05090184
MATERIALE D CONSTRUCCION LA LEGUA,19.71463978,-98.97103954
MATERIALEA PARA CONSTRUCCION ALVARADO,19.64193622,-99.07080666
MATERIALES,19.49785157,-99.05646559
MATERIALES ADONAI,19.54650295,-99.02391522
MATERIALES AGUILAR,19.51464353,-99.02373164
MATERIALES ARCO,19.6916076,-98.98555042
MATERIALES ARTELI,19.62203276,-99.04698519
MATERIALES BRAG,19.6311803,-99.07138526
MATERIALES CERVANTES,19.60912685,-99.01969886
MATERIALES CORONA,19.49151756,-99.02969063
MATERIALES COSTRUCION GFS,19.62101567,-99.04651793
MATERIALES DE CONSTRUCCION,19.67725476,-99.03385225
MATERIALES DE CONSTRUCCION CASA ORTEGA,19.51323838,-99.05576
MATERIALES DE CONSTRUCCION LOPEZ,19.60038158,-99.05794638
MATERIALES DE CONSTRUCCION LOS CHOPOS,19.62148102,-99.05504067
MATERIALES DE CONSTRUCION CASAS,19.49344968,-99.03229869
MATERIALES DEFIN,19.52834778,-99.04584248
MATERIALES DEL RIO,19.55520495,-99.03584796
MATERIALES DON RAFA,19.63126115,-99.05327797
MATERIALES EL CALVARIO,19.60374178,-99.05615922
MATERIALES EL CONSENTIDO,19.56169615,-99.09085979
MATERIALES EL FRANCES,19.50464619,-99.02287357
MATERIALES EL JAROCHO,19.5452299,-99.02191847
MATERIALES EL PROGRESO,19.77141903,-99.00130562
