Establecimiento,Lat,Lon
UNIVERSIDAD POLITÉCNICA DE BACALAR,18.69557127,-88.395843
UNIVERSIDAD POLITECNICA DE QUINTANA ROO SEDE KANTUNILKIN,21.1122535,-87.48499442
UNIVERSIDAD PRIVADA DEL ESTADO DE MÉXICO S C,19.57706407,-88.04246135
UNIVERSIDAD TEC MILENIO CAMPUS CANCUN,21.13166962,-86.82736622
UNIVERSIDAD TECNOLOGICA DE CANCÚN,21.04950694,-86.84689111
UNIVERSIDAD TECNOLOGICA DE LA RIVIERA MAYA,20.68253713,-87.06414398
UNIVERSIDAD TECNOLÓGICA DE LA RIVIERA MAYA,20.68292675,-87.06474402
UNIVERSIDAD UDLAP,21.14742972,-86.8211698
UNIVERSIDAD UNIMAAT,21.15581198,-86.82273801
UNIVERSIDAD UNINOVA,18.54781048,-88.29622623
UNIVERSIDAD VIZCAYA DE LAS AMÉRICAS,18.49369563,-88.30352449
UP DE QUINTANA ROO,21.17889806,-86.90675366
UT CHETUMAL,18.50392776,-88.34027235
UT DE CANCÚN,21.04862299,-86.85027725
VETERINARIA DON TIRZO,20.1949068,-88.37852901
